City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Pingliang,CN,35.5392,106.6861,49.96,27,54,5.14,broken clouds
176,Lufilufi,WS,-13.8745,-171.5986,75.2,94,20,4.61,light rain
177,Ust-Nera,RU,64.5667,143.2,-7.92,97,100,6.6,overcast clouds
178,Moose Factory,CA,51.2585,-80.6094,35.6,75,90,4.61,overcast clouds
179,Ati,TD,13.2154,18.3353,98.22,15,70,7.54,broken clouds
180,Saint-Francois,FR,46.4154,3.9054,55.4,44,0,4.61,clear sky
181,Kalmunai,LK,7.4167,81.8167,80.17,73,25,4.32,scattered clouds
182,Nicolae Balcescu,RO,46.4667,26.9167,34.0,86,90,12.66,light snow
183,Riviere-Du-Loup,CA,47.8304,-69.5342,57.2,28,73,5.75,broken clouds
184,Batagay-Alyta,RU,67.8006,130.4114,-16.64,94,100,3.38,overcast clouds
185,Tual,ID,-5.6667,132.75,83.68,72,73,5.23,moderate rain
186,Qaanaaq,GL,77.484,-69.3632,-14.12,70,56,5.23,broken clouds
187,Chuy,UY,-33.6971,-53.4616,75.2,56,26,7.76,scattered clouds
188,Lima,PE,-12.0432,-77.0282,78.8,61,0,9.22,clear sky
189,Atherton,GB,53.5237,-2.4935,52.0,60,100,4.0,overcast clouds
190,Mandalgovi,MN,45.7625,106.2708,34.92,34,0,8.05,clear sky
191,Nouadhibou,MR,20.931,-17.0347,68.0,73,0,20.71,clear sky
192,Carnarvon,AU,-24.8667,113.6333,73.4,78,75,18.41,broken clouds
193,Kailua,US,21.4022,-157.7394,69.8,94,90,4.12,overcast clouds
194,Katsuura,JP,35.1333,140.3,53.6,66,20,8.05,few clouds
195,Picton,AU,-34.1833,150.6,64.0,98,41,5.17,scattered clouds
196,Myaundzha,RU,63.0494,147.1858,-7.92,97,100,3.76,overcast clouds
197,Jamestown,US,42.097,-79.2353,59.0,25,1,10.4,clear sky
198,Khorixas,NA,-20.3667,14.9667,73.09,76,76,10.22,moderate rain
199,Davila,PH,18.4726,120.5763,76.33,79,5,8.55,clear sky
200,Saint Anthony,US,45.0205,-93.218,55.0,71,1,6.91,clear sky
201,Airai,TL,-8.9266,125.4092,60.21,92,87,1.34,overcast clouds
202,Maksatikha,RU,57.797,35.8825,19.38,95,48,3.22,scattered clouds
203,East London,ZA,-33.0153,27.9116,68.0,77,20,10.36,few clouds
204,Bastrop,US,32.7562,-91.8724,68.0,77,40,8.05,scattered clouds
205,Barahona,DO,18.2085,-71.1008,84.2,70,20,13.8,few clouds
206,Pisco,PE,-13.7,-76.2167,75.2,64,0,9.22,clear sky
207,Sayyan,YE,15.1718,44.3244,60.26,20,3,5.73,clear sky
208,Datong,CN,40.0936,113.2914,42.03,38,44,5.14,scattered clouds
209,Georgetown,MY,5.4112,100.3354,82.0,94,20,1.14,few clouds
210,Marrakesh,MA,31.6315,-8.0083,77.0,20,20,9.22,few clouds
211,Talnakh,RU,69.4865,88.3972,0.27,96,100,7.99,overcast clouds
