City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Cayenne,GF,2021-03-19 16:42:31,4.9333,-52.3333,87.8,55,40,12.66
93,Cidreira,BR,2021-03-19 16:46:09,-30.1811,-50.2056,75.72,64,59,10.18
94,Shenjiamen,CN,2021-03-19 16:46:10,29.9576,122.298,53.19,96,67,6.91
95,Saint-Philippe,RE,2021-03-19 16:46:10,-21.3585,55.7679,77.0,83,75,18.41
96,Lebyazhye,RU,2021-03-19 16:46:11,55.2689,66.4947,29.95,85,100,12.53
97,Dinguiraye,GN,2021-03-19 16:46:11,11.3,-10.7167,100.65,14,6,2.06
98,Vila Velha,BR,2021-03-19 16:41:19,-20.3297,-40.2925,87.01,58,20,12.66
99,The Valley,AI,2021-03-19 16:46:12,18.217,-63.0578,82.4,57,20,18.41
100,Talnakh,RU,2021-03-19 16:46:12,69.4865,88.3972,-25.58,93,38,9.19
101,Agadir,MA,2021-03-19 16:46:13,30.4202,-9.5982,75.2,43,20,24.16
102,Mount Isa,AU,2021-03-19 16:46:13,-20.7333,139.5,82.4,44,75,10.36
103,Ust-Kuyga,RU,2021-03-19 16:46:13,70.0167,135.6,-3.53,93,100,6.11
104,Georgetown,MY,2021-03-19 16:41:14,5.4112,100.3354,80.6,57,20,3.44
105,Mattru,SL,2021-03-19 16:46:14,7.6244,-11.8332,91.78,45,37,8.23
106,Kaitangata,NZ,2021-03-19 16:46:14,-46.2817,169.8464,47.05,92,90,6.91
107,Broken Hill,AU,2021-03-19 16:46:14,-31.95,141.4333,73.4,56,40,13.8
108,Bom Jesus,BR,2021-03-19 16:46:15,-9.0744,-44.3586,82.51,75,94,6.13
109,Vikravandi,IN,2021-03-19 16:46:15,12.0333,79.55,73.49,82,0,3.0
110,Castro,BR,2021-03-19 16:46:16,-24.7911,-50.0119,73.53,79,57,7.54
111,Klaksvik,FO,2021-03-19 16:46:16,62.2266,-6.589,44.6,100,75,14.97
112,Longyearbyen,SJ,2021-03-19 16:44:59,78.2186,15.6401,32.0,74,40,11.5
113,Laguna,US,2021-03-19 16:46:16,38.421,-121.4238,55.0,93,90,3.44
114,Kruisfontein,ZA,2021-03-19 16:46:17,-34.0033,24.7314,63.28,84,100,10.49
115,Kitimat,CA,2021-03-19 16:46:17,54.0524,-128.6534,37.99,96,95,2.39
116,Gornopravdinsk,RU,2021-03-19 16:46:18,60.05,69.9,26.47,98,100,2.39
117,Bandarbeyla,SO,2021-03-19 16:46:18,9.4942,50.8122,78.64,74,34,13.85
118,Boyabat,TR,2021-03-19 16:46:18,41.4689,34.7667,48.2,76,75,5.75
119,Sumbe,AO,2021-03-19 16:46:19,-11.2061,13.8437,80.64,78,14,9.08
120,Innisfail,AU,2021-03-19 16:46:19,-17.5333,146.0333,75.81,88,100,4.63
