City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Alibag,IN,87.8,smoke,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
439,La Asuncion,VE,80.38,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
441,Labuhan,ID,78.42,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
445,Sinfra,CI,91.4,scattered clouds,6.6167,-5.9167,Hote Ivoire Sinfra
446,Jaciara,BR,87.73,overcast clouds,-15.9653,-54.9683,Taba Hotel
451,Sadat,IN,80.6,haze,25.6833,83.2833,Tuntun Niwas
456,Hobyo,SO,79.66,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
461,Namatanai,PG,78.73,light rain,-3.6667,152.4333,Namatanai Hotel
465,Kutum,SD,87.93,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
466,San Isidro,PE,78.8,clear sky,-12.1167,-77.05,Soul Mate-Inn
467,Lang Suan,TH,77.22,overcast clouds,9.9456,99.0785,Langsuan Resort
481,Sao Joao Da Barra,BR,87.8,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
485,Pombas,CV,75.2,scattered clouds,17.1503,-25.0201,POUSADA O RECANTO
486,Lake Charles,US,75.2,clear sky,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
490,Itapage,BR,79.99,broken clouds,-3.6867,-39.5861,Pousada Itajavé
493,Mutum,BR,86.72,few clouds,-19.8,-41.4383,Hotel do Djalma
494,Sola,VU,80.46,few clouds,-13.8833,167.55,Leumerus Bungalows
497,Sibolga,ID,75.56,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
503,Yaring,TH,78.21,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
504,Rawson,AR,84.06,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
508,Ugoofaaru,MV,81.77,broken clouds,5.6667,73.0,Ungoofaaru Inn
510,Atar,MR,92.53,clear sky,20.5169,-13.0499,Oumou Elghoura
512,San Vicente,AR,78.31,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
513,Itaituba,BR,87.8,few clouds,-4.2761,-55.9836,Hotel Campos
514,San Patricio,US,86.0,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
515,Bonthe,SL,82.76,broken clouds,7.5264,-12.505,Bonthe Holiday Village
516,Port Blair,IN,82.08,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
517,Carutapera,BR,82.53,broken clouds,-1.195,-46.02,Lidera
519,El Alto,PE,91.4,clear sky,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
521,Nabire,ID,76.1,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
522,Buraydah,SA,86.0,clear sky,26.326,43.975,فندق راحة السلام
527,Kathu,TH,82.4,few clouds,7.9178,98.3332,Novotel Phuket Resort
528,Kupang,ID,78.93,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
530,Bathsheba,BB,84.2,few clouds,13.2167,-59.5167,Atlantis Hotel
533,Cartagena,CO,86.0,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
534,Samarai,PG,81.79,overcast clouds,-10.6167,150.6667,Nuli Sapi
535,Fare,PF,83.05,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
536,Port-Gentil,GA,84.2,few clouds,-0.7193,8.7815,Fengshui Residence
537,Monrovia,LR,87.8,broken clouds,6.3005,-10.7969,Sunset Inn
540,Porbandar,IN,78.78,clear sky,21.6422,69.6093,Lords Inn Porbandar
547,Marawi,PH,77.0,scattered clouds,7.9986,124.2928,Derogongan Residence
549,Bac Lieu,VN,82.44,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
553,Buala,SB,79.59,light rain,-8.145,159.5921,Maringe Lagoon Lodge
554,Pedernales,DO,81.7,scattered clouds,18.0384,-71.744,Hotel Costa Marina
555,Gauribidanur,IN,75.2,clear sky,13.6111,77.5167,Baba ramdev ice cream jus center
556,Kuala Terengganu,MY,82.4,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
559,Boyolangu,ID,75.49,overcast clouds,-8.1181,111.8935,Yos ega cv
560,Omboue,GA,79.52,broken clouds,-1.5746,9.2618,Hotel Olako
567,Maumere,ID,79.39,broken clouds,-8.6199,122.2111,Sylvia Hotel
568,Antalaha,MG,77.29,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
576,Salinopolis,BR,81.21,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
577,San Andres,CO,86.0,few clouds,12.5847,-81.7006,Hotel Arena Blanca
578,Navirai,BR,88.14,overcast clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
579,Zacatepec,MX,86.0,clear sky,18.65,-99.2,Villa El Paraíso
582,Takoradi,GH,81.63,light rain,4.8845,-1.7554,Raybow International Hotel
586,Maceio,BR,77.0,overcast clouds,-9.6658,-35.7353,Poutur Pousada
587,Puri,IN,80.6,mist,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
589,Keti Bandar,PK,78.26,clear sky,24.1447,67.4497,Haji laloo memon house
590,Vaitape,PF,83.26,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
591,Mahibadhoo,MV,82.17,scattered clouds,3.7833,72.9667,Omadhoo Inn
592,Moquegua,PE,75.58,broken clouds,-17.1956,-70.9353,Residencial Moquegua
593,Claudio,BR,82.29,few clouds,-20.4433,-44.7658,Hotel 3 Irmãos
594,Hambantota,LK,80.17,broken clouds,6.1241,81.1185,Bungalow 63
599,Bubaque,GW,77.22,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
603,Mogadishu,SO,80.04,clear sky,2.0371,45.3438,Olympic Hotel
606,Tiarei,PF,82.4,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
613,Lhokseumawe,ID,77.05,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
616,Codajas,BR,82.56,overcast clouds,-3.8367,-62.0569,Hotel Tamires
619,Tayoltita,MX,77.34,few clouds,24.0833,-105.9333,Hotel Rivera Tayoltita
622,Yenagoa,NG,79.77,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
